ano;mes;NU_IDENTIFICADOR;nome_unidade;endereco;municipio;uf;IBGE;a1;a1ma;a1mb;a1mc;a1md;a1me;a1fa;a1fb;a1fc;a1fd;a1fe;b1;b2;b3;c1;c2;d1;IBGE7;populacao_total;porte_municipio
2017;1;11002096408;CREAS POP   Centro de ReferÃªncia Especializado de AssistÃªncia Social para a PopulaÃ Ã o em SituaÃ Ã o de Rua;GERALDO FERREIRA 135   AGENOR DE CARVALHO;PORTO VELHO;RO;110020;21.0;0.0;0.0;11.0;9.0;1.0;0.0;0.0;0.0;0.0;0.0;14.0;15.0;2.0;0.0;0.0;63.0;1100205;428527;4
2017;2;11002096408;CREAS POP   Centro de ReferÃªncia Especializado de AssistÃªncia Social para a PopulaÃ Ã o em SituaÃ Ã o de Rua;GERALDO FERREIRA 135   AGENOR DE CARVALHO;PORTO VELHO;RO;110020;25.0;0.0;0.0;15.0;9.0;0.0;0.0;0.0;1.0;0.0;0.0;10.0;11.0;3.0;0.0;0.0;43.0;1100205;428527;4
2017;3;11002096408;CREAS POP   Centro de ReferÃªncia Especializado de AssistÃªncia Social para a PopulaÃ Ã o em SituaÃ Ã o de Rua;GERALDO FERREIRA 135   AGENOR DE CARVALHO;PORTO VELHO;RO;110020;34.0;0.0;0.0;9.0;19.0;1.0;0.0;0.0;3.0;2.0;0.0;5.0;18.0;2.0;0.0;0.0;343.0;1100205;428527;4
2017;4;11002096408;CREAS POP   Centro de ReferÃªncia Especializado de AssistÃªncia Social para a PopulaÃ Ã o em SituaÃ Ã o de Rua;GERALDO FERREIRA 135   AGENOR DE CARVALHO;PORTO VELHO;RO;110020;17.0;0.0;0.0;11.0;2.0;1.0;0.0;0.0;1.0;2.0;0.0;5.0;4.0;3.0;0.0;0.0;118.0;1100205;428527;4
2017;5;11002096408;CREAS POP   Centro de ReferÃªncia Especializado de AssistÃªncia Social para a PopulaÃ Ã o em SituaÃ Ã o de Rua;GERALDO FERREIRA 135   AGENOR DE CARVALHO;PORTO VELHO;RO;110020;26.0;0.0;0.0;9.0;12.0;1.0;0.0;0.0;1.0;3.0;0.0;6.0;0.0;2.0;0.0;0.0;108.0;1100205;428527;4
2017;6;11002096408;CREAS POP   Centro de ReferÃªncia Especializado de AssistÃªncia Social para a PopulaÃ Ã o em SituaÃ Ã o de Rua;GERALDO FERREIRA 135   AGENOR DE CARVALHO;PORTO VELHO;RO;110020;26.0;0.0;0.0;8.0;13.0;3.0;0.0;0.0;2.0;0.0;0.0;5.0;19.0;3.0;0.0;0.0;109.0;1100205;428527;4
2017;7;11002096408;CREAS POP   Centro de ReferÃªncia Especializado de AssistÃªncia Social para a PopulaÃ Ã o em SituaÃ Ã o de Rua;GERALDO FERREIRA 135   AGENOR DE CARVALHO;PORTO VELHO;RO;110020;29.0;0.0;0.0;15.0;7.0;4.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;82.0;1100205;428527;4
2017;8;11002096408;CREAS POP   Centro de ReferÃªncia Especializado de AssistÃªncia Social para a PopulaÃ Ã o em SituaÃ Ã o de Rua;GERALDO FERREIRA 135   AGENOR DE CARVALHO;PORTO VELHO;RO;110020;22.0;0.0;0.0;15.0;2.0;0.0;0.0;0.0;2.0;3.0;0.0;9.0;13.0;5.0;0.0;0.0;108.0;1100205;428527;4
2017;9;11002096408;CREAS POP   Centro de ReferÃªncia Especializado de AssistÃªncia Social para a PopulaÃ Ã o em SituaÃ Ã o de Rua;GERALDO FERREIRA 135   AGENOR DE CARVALHO;PORTO VELHO;RO;110020;32.0;0.0;0.0;12.0;16.0;1.0;0.0;0.0;0.0;3.0;0.0;12.0;10.0;6.0;0.0;0.0;98.0;1100205;428527;4
2017;10;11002096408;CREAS POP   Centro de ReferÃªncia Especializado de AssistÃªncia Social para a PopulaÃ Ã o em SituaÃ Ã o de Rua;GERALDO FERREIRA 135   AGENOR DE CARVALHO;PORTO VELHO;RO;110020;28.0;0.0;0.0;11.0;13.0;0.0;0.0;0.0;1.0;2.0;1.0;14.0;13.0;5.0;0.0;0.0;112.0;1100205;428527;4
2017;11;11002096408;CREAS POP   Centro de ReferÃªncia Especializado de AssistÃªncia Social para a PopulaÃ Ã o em SituaÃ Ã o de Rua;GERALDO FERREIRA 135   AGENOR DE CARVALHO;PORTO VELHO;RO;110020;23.0;0.0;0.0;2.0;17.0;0.0;0.0;0.0;1.0;2.0;1.0;14.0;16.0;1.0;0.0;0.0;51.0;1100205;428527;4
2017;12;11002096408;CREAS POP   Centro de ReferÃªncia Especializado de AssistÃªncia Social para a PopulaÃ Ã o em SituaÃ Ã o de Rua;GERALDO FERREIRA 135   AGENOR DE CARVALHO;PORTO VELHO;RO;110020;10.0;0.0;0.0;1.0;6.0;0.0;0.0;0.0;0.0;3.0;0.0;4.0;5.0;1.0;0.0;0.0;40.0;1100205;428527;4
2017;1;12004097308;CENTRO POP CAPOEIRA;PONTA PORA 55   CAPOEIRA;RIO BRANCO;AC;120040;61.0;0.0;1.0;34.0;21.0;0.0;0.0;0.0;4.0;1.0;0.0;16.0;10.0;0.0;0.0;0.0;259.0;1200401;336038;4
2017;2;12004097308;CENTRO POP CAPOEIRA;PONTA PORA 55   CAPOEIRA;RIO BRANCO;AC;120040;71.0;0.0;0.0;41.0;22.0;3.0;1.0;1.0;2.0;1.0;0.0;9.0;6.0;0.0;0.0;0.0;310.0;1200401;336038;4
2017;3;12004097308;CENTRO POP CAPOEIRA;PONTA PORA 55   CAPOEIRA;RIO BRANCO;AC;120040;118.0;0.0;0.0;80.0;19.0;1.0;0.0;0.0;14.0;3.0;1.0;38.0;15.0;0.0;0.0;0.0;811.0;1200401;336038;4
2017;4;12004097308;CENTRO POP CAPOEIRA;PONTA PORA 55   CAPOEIRA;RIO BRANCO;AC;120040;62.0;0.0;0.0;18.0;25.0;6.0;0.0;0.0;10.0;2.0;1.0;12.0;9.0;0.0;22.0;1.0;145.0;1200401;336038;4
2017;5;12004097308;CENTRO POP CAPOEIRA;PONTA PORA 55   CAPOEIRA;RIO BRANCO;AC;120040;117.0;0.0;4.0;45.0;33.0;5.0;0.0;3.0;18.0;8.0;1.0;25.0;0.0;0.0;2.0;0.0;931.0;1200401;336038;4
2017;6;12004097308;CENTRO POP CAPOEIRA;PONTA PORA 55   CAPOEIRA;RIO BRANCO;AC;120040;130.0;0.0;1.0;81.0;23.0;1.0;0.0;0.0;20.0;4.0;0.0;25.0;0.0;0.0;0.0;0.0;951.0;1200401;336038;4
2017;7;12004097308;CENTRO POP CAPOEIRA;PONTA PORA 55   CAPOEIRA;RIO BRANCO;AC;120040;101.0;0.0;0.0;60.0;26.0;3.0;0.0;1.0;7.0;4.0;0.0;85.0;12.0;4.0;3.0;0.0;393.0;1200401;336038;4
2017;8;12004097308;CENTRO POP CAPOEIRA;PONTA PORA 55   CAPOEIRA;RIO BRANCO;AC;120040;145.0;0.0;0.0;112.0;27.0;1.0;0.0;0.0;2.0;3.0;0.0;125.0;7.0;10.0;4.0;0.0;371.0;1200401;336038;4
